	doc_id	keyword
0	4	AcademicDomain
1	4	KnowledgeGraph
2	800	KnowledgeGraph
3	2044	KnowledgeGraph
4	4	DataMining
5	4	KnowledgeEmbedding
6	4	NetworkRepresentationLearning
7	4	Knowledgegraph
8	40	Knowledgegraph
9	40	Querying
10	40	Querying
11	40	Embedding
12	40	Multimodaldata
13	40	Naturallanguagequestions
14	235	SchemaLinkingErrors
15	235	FilteringUnnecessaryTablesandColumns
16	235	Schema-Linking
17	235	CodeLlama-34B
18	235	CodeLlama-34B
19	235	CodeLlama-34B
20	235	GPT4
21	282	Vectordatabase
22	282	Approximatenearestneighborsearch
23	282	Hash-based
24	282	Hash-based
25	282	Tree-based
26	282	Tree-based
27	282	Graph-based
28	282	Graph-based
29	282	Quantization-based
30	282	Largelanguagemodels
31	297	deeplearning
32	297	deeplearning
33	297	database
34	297	data-drivenapplications
35	297	data-drivenapplications
36	297	imageclassification
37	297	imageclassification
38	297	speechrecognition
39	297	speechrecognition
40	434	vectordatabases
41	434	similaritysearch
42	434	queryprocessing
43	434	storageandindexing
44	434	queryoptimizationandexecution
45	2	LargeLanguageModels
46	447	LargeLanguageModels
47	1455	LargeLanguageModels
48	1680	LargeLanguageModels
49	2044	LargeLanguageModels
50	2143	LargeLanguageModels
51	447	VectorDatabases
52	447	Hallucinations
53	447	Hallucinations
54	447	OutdatedKnowledge
55	447	OutdatedKnowledge
56	447	MemoryIssues
57	447	MemoryIssues
58	571	In-memorydistributeddatabase
59	571	RDMA(RemoteDirectMemoryAccess)
60	571	FaRM(Fault-tolerantAbstractRemoteMemory)
61	571	Highthroughput
62	571	Lowlatency
63	626	DatabaseManagementSystems
64	626	DBMSs
65	626	QueryOptimization
66	928	QueryOptimization
67	626	PerformanceIssues
68	626	CardinalityEstimation
69	727	Databasetesting
70	727	Databasetesting
71	727	Testoracle
72	727	Testoracle
73	727	Queryplan
74	727	Mutationtesting
75	727	Mutationtesting
76	727	SQL
77	727	SQL
78	800	InternetofThings(IoT)
79	800	LightweightEncryptionAlgorithms(LEA)
80	800	PartialDifferenceDistributionTable(PDDT)
81	800	DifferentialSecurityAnalysis
82	846	Graphdatabases
83	846	Pathqueries
84	846	Context-freegrammars
85	846	Recursivestatemachines
86	846	NoSQL
87	846	Context-freepathquerying
88	846	ExtendedBackus-NaurForm(EBNF)
89	846	ExtendedBackus-NaurForm(EBNF)
90	846	RecursiveStateMachines(RSM)
91	846	RecursiveStateMachines(RSM)
92	846	Reachability-onlyandall-pathsproblems
93	4	Academicdomain
94	4	Datamining
95	4	Networkembedding
96	4	Entityalignment
97	40	KnowledgeGraphs
98	40	DeepLearning
99	40	NaturalLanguageQuestions
100	40	DataManagement
101	235	Text-to-SQL
102	235	Text-to-SQL
103	2059	Text-to-SQL
104	235	SchemaLinking
105	235	SQLGeneration
106	235	SQLGeneration
107	235	GPT-4
108	235	GPT-4
109	928	SubgraphCardinalityEstimation
110	928	GraphCompression
111	928	DataGraphs
112	928	DatabaseSystems
113	282	VectorDatabase
114	282	ApproximateNearestNeighborSearch
115	297	databases
116	434	Vectordatabasemanagementsystems
117	434	Vectordatamanagement
118	434	Queryprocessing
119	434	Storageandindexing
120	434	Queryoptimizationandexecution
121	447	LargeLanguageModels(LLMs)
122	447	VectorDatabases(VecDBs)
123	571	In-memorydatabase
124	571	RDMA
125	571	FaRM
126	571	Graphabstraction
127	571	Queryexecution
128	626	queryperformance
129	626	queryoptimization
130	626	cardinalityestimation
131	626	DBMStesting
132	626	CERT
133	727	Queryplanguidance
134	846	context-freepathquerying
135	846	regularpathqueries
136	846	Neo4j
137	1197	Pre-trainedlanguagemodels
138	1197	Knowledge-intensiveNLPtasks
139	1197	Retrieval-augmentedgeneration(RAG)
140	1197	OpendomainQA
141	1197	Languagegeneration
142	1455	Retrieval-AugmentedGeneration
143	1680	Retrieval-AugmentedGeneration
144	2143	Retrieval-AugmentedGeneration
145	1455	Hallucination
146	1455	Knowledge-IntensiveTasks
147	1455	EvaluationFramework
148	1680	RAG
149	1680	LLMs
150	2059	LLMs
151	1680	AI-GeneratedContent
152	1680	AIGC
153	2	Retrieval-AugmentedThoughtProcess
154	2	Monte-CarloTreeSearch
155	2	Question-AnsweringwithPrivateData
156	2	EthicsandSecurity
157	1997	ChatGPT
158	1997	DatabaseManagement
159	1997	SemanticDatabaseRepresentation
160	1997	SemanticIntegration
161	1997	TableJoining
162	2044	Question-Answering
163	2044	SemanticRepresentation
164	2044	SQLDatabases
165	235	Schemalinking
166	2059	Contextualunderstanding
167	2059	Responsecoherence
168	2059	Chain-of-Thought
169	2143	UnstructuredData
170	2143	DocumentAnalytics
171	2143	SemanticDocumentStructure
