	doc_id	keyword
0	4	AcademicDomain KnowledgeGraph KnowledgeEmbedding NetworkRepresentationLearning NetworkRepresentationLearning DataMining
1	40	Knowledgegraph Querying Embedding Multimodaldata Naturallanguagequestions Knowledgegraph Querying Embedding Multimodaldata Naturallanguagequestions
2	235	SchemaLinkingErrors FilteringUnnecessaryTablesandColumns Schema-Linking CodeLlama-34B GPT4 SchemaLinkingErrors FilteringUnnecessaryTablesandColumns SchemaLinking CodeLlama34B GPT4
3	282	Vectordatabase Approximatenearestneighborsearch Hash-based Tree-based Graph-based Quantization-based Largelanguagemodels Vectordatabase Approximatenearestneighborsearch Hashbased Treebased Graphbased Quantizationbased Largelanguagemodels
4	297	deeplearning database data-drivenapplications imageclassification speechrecognition deeplearning database datadrivenapplications imageclassification speechrecognition
5	434	vectordatabases similaritysearch queryprocessing storageandindexing queryoptimizationandexecution vectordatabases similaritysearch queryprocessing storageandindexing queryoptimizationandexecution
6	447	LargeLanguageModels VectorDatabases Hallucinations OutdatedKnowledge MemoryIssues LargeLanguageModels VectorDatabases Hallucinations OutdatedKnowledge MemoryIssues
7	571	In-memorydistributeddatabase RDMA(RemoteDirectMemoryAccess) FaRM(Fault-tolerantAbstractRemoteMemory) Highthroughput Lowlatency Inmemorydistributeddatabase RDMARemoteDirectMemoryAccess FaRMFaulttolerantAbstractRemoteMemory Highthroughput Lowlatency
8	626	DatabaseManagementSystems DBMSs QueryOptimization PerformanceIssues CardinalityEstimation DatabaseManagementSystems DBMSs QueryOptimization PerformanceIssues CardinalityEstimation
9	727	Databasetesting Testoracle Queryplan Mutationtesting SQL Databasetesting Testoracle Queryplan Mutationtesting SQL
10	800	LightweightEncryptionAlgorithmsLEA InternetofThings(IoT) LightweightEncryptionAlgorithms(LEA) PartialDifferenceDistributionTable(PDDT) DifferentialSecurityAnalysis KnowledgeGraph InternetofThingsIoT PartialDifferenceDistributionTablePDDT DifferentialSecurityAnalysis
11	846	Graphdatabases Pathqueries Context-freegrammars Recursivestatemachines NoSQL Context-freepathquerying ExtendedBackus-NaurForm(EBNF) RecursiveStateMachines(RSM) Reachability-onlyandall-pathsproblems Graphdatabases Pathqueries Contextfreegrammars Recursivestatemachines NoSQL Contextfreepathquerying ExtendedBackusNaurFormEBNF RecursiveStateMachinesRSM Reachabilityonlyandallpathsproblems
